Company_JP,Company_English,JP_Code,Market,HP
GNI,GNI,2160,東証マザーズ,http://www.gnipharma.com
テラ,Tella,2191,東証JQ,https://www.tella.jp
メディネット,MDNT,2370,東証マザーズ,https://www.medinet-inc.co.jp
アイロム,I’rom,2372,東証一部,https://www.iromgroup.co.jp › corporate › history
総医研HD,Soiken,2385,東証マザーズ,http://www.soiken.com
新日本科学,ShinNippon,2395,東証一部,https://www.snbl.co.jp › service › cro
DNAチップ研究所,DNA,2397,東証二部,https://www.nikkei.com › nkd › company › article
ユーグレナ,Euglena,2931,東証一部,https://www.euglena.jp › news
コスモバイオ,Cosmo,3386,東証一部,https://www.cosmobio.co.jp › research › biomedicine
日本酸素HD,NipponSanso,4091,東証一部,https://www.nipponsanso-hd.co.jp › social › disease
協和キリン株式会社,KyowaKirin,4151,東証一部,https://medical.kyowakirin.co.jp
メドレー,Medley,4480,東証マザーズ,https://medley.life › MEDLEY › 薬
武田薬品工業,Takeda,4502,東証一部,https://www.takeda.com › ... › 主要製品
アステラス製薬,Astellas,4503,東証一部,https://www.astellas.com › about › main-products
大日本住友製薬,Sumitomo,4506,東証一部,https://www.ds-pharma.co.jp › business › medicine
塩野義製薬,Shionogi,4507,東証一部,https://www.shionogi.co.jp › med
田辺三菱製薬,Tanabe,4508,東証一部,https://medical.mt-pharma.co.jp › ...
わかもと製薬,Wakamoto,4512,東証一部,https://www.wakamoto-pharm.co.jp
あすか製薬,Aska,4514,東証一部,https://www.aska-pharma.co.jp › iryouiyaku › item
日本新薬株式会社,Nippon,4516,東証一部,https://www.nippon-shinyaku.co.jp › mainproduct
ビオフェルミン製薬,Biofermin,4517,東証一部,https://www.biofermin.co.jp
中外製薬,Chugai,4519,東証一部,https://www.chugai-pharm.co.jp › profile › overview
科研製薬,Kaken,4521,東証一部,http://www.kaken.co.jp › medical › product_main
エーザイ,Eisai,4523,東証一部,https://www.eisai.co.jp › medical
森下仁丹,Morishita,4524,東証二部,https://www.jintan.co.jp › product › yakubou
ロート製薬,Rohto,4527,東証一部,https://www.rohto.co.jp › business
小野薬品工業,Ono,4528,東証一部,https://www.ono.co.jp › company › products
久光製薬,Hisamitsu,4530,東証一部,https://www.hisamitsu.co.jp › medical › index2
有機合成薬品工業,Yuki,4531,東証一部,https://www.yuki-gosei.co.jp
持田製薬,Mochida,4534,東証一部,https://www.mochida.co.jp › company › medicine
参天製薬,Santen,4536,東証一部,https://www.santen.co.jp › products › prescription_drug
扶桑薬品工業,Fuso,4538,東証一部,https://www.fuso-pharm.co.jp
日本ケミファ,Chemifa,4539,東証一部,https://www.nc-medical.com › product › list
ツムラ,Tsumura,4540,東証一部,https://www.tsumura.co.jp › products › ippan
日医工,Nichi-Iko,4541,東証一部,https://www.nichiiko.co.jp › medicine
キッセイ薬品工業,Kissei,4547,東証一部,https://www.kissei.co.jp › 企業情報
生化学工業,Seikagaku,4548,東証一部,https://www.seikagaku.co.jp › product › medicine
栄研化学,Eiken,4549,東証一部,https://www.eiken.co.jp
日水製薬,Nissui,4550,東証一部,https://www.nissui-pharm.co.jp
鳥居薬品,Torii,4551,東証一部,https://www.torii.co.jp
JCRファーマ,JCR,4552,東証一部,https://www.jcrpharm.co.jp › medical › medicine
東和薬品,Towa,4553,東証一部,https://med.towayakuhin.co.jp › medical
富士製薬工業,Fuji,4554,東証一部,https://www.fujipharma.jp
カイノス,Kainos,4556,東証JQ,http://www.kainos.co.jp › products › enter_07
中京医薬品,Chukyo,4558,東証JQ,https://www.chukyoiyakuhin.biz
ゼリア新薬,Zelia,4559,東証一部,https://www.zeria.co.jp › corporate › business › medical
